(3, -1, 2, '?', 3, 1): pass,pass
(2, 1, 1, '?', 2, 1): pass,pass
(3, 0, 3, '?', 6, 0): pass,pass
(4, 0, 3, '?', 2, 1): pass,pass
(4, 0, 4, '?', 4, 0): pass,bet
(3, 1, 3, '?', 2, 1): pass,pass
(4, 3, 3, '?', 1, 1): pass,pass
(3, 2, 2, '?', 4, 1): pass,pass
(2, 0, 1, '?', 1, 0): bet,pass
(2, 1, 2, '?', 0, 0): addFlower,bet
(3, 1, 3, '?', 4, 0): pass,bet
(3, -1, 3, '?', 1, 1): pass,pass
(3, 2, 3, '?', 6, 1): pass,pass
(2, 0, 1, '?', 3, 0): pass,pass
(2, 1, 2, '?', 4, 0): pass,pass
(4, 0, 3, '?', 3, 0): pass,bet
(2, -1, 2, '?', 3, 1): pass,pass
(3, -1, 2, '?', 5, 0): pass,pass
(2, 0, 1, '?', 2, 1): pass,pass
(3, 1, 3, '?', 2, 0): pass,bet
(3, -1, 3, '?', 5, 1): pass,pass
(4, 1, 3, '?', 5, 0): pass,bet
(4, 1, 4, '?', 2, 0): pass,bet
(4, 0, 3, '?', 4, 1): pass,pass
(3, -1, 3, '?', 6, 0): pass,pass
(4, 0, 4, '?', 6, 0): pass,bet
(4, 1, 4, '?', 1, 1): pass,pass
(4, 1, 4, '?', 3, 1): pass,pass
(4, 2, 3, '?', 1, 1): pass,pass
(3, -1, 3, '?', 3, 1): pass,pass
(4, 0, 3, '?', 7, 1): pass,pass
(2, 0, 2, '?', 3, 1): pass,pass
(4, 0, 3, '?', 1, 0): bet,pass
(4, 0, 3, '?', 5, 1): pass,pass
(3, -1, 2, '?', 2, 1): pass,pass
(4, 0, 4, '?', 5, 1): pass,pass
(4, 2, 4, '?', 7, 1): pass,pass
(3, 2, 2, '?', 1, 0): bet,pass
(4, 3, 4, '?', 5, 1): pass,pass
(3, 1, 3, '?', 6, 0): pass,pass
(4, 1, 4, '?', 0, 0): bet,bet
(2, 0, 2, '?', 1, 1): pass,pass
(4, 0, 4, '?', 7, 1): pass,pass
(4, 2, 4, '?', 2, 0): pass,bet
(2, 0, 2, '?', 4, 0): pass,pass
(3, 1, 3, '?', 3, 1): pass,pass
(2, -1, 2, '?', 2, 1): pass,pass
(4, 1, 3, '?', 6, 1): pass,pass
(3, -1, 2, '?', 1, 1): pass,pass
(4, 2, 3, '?', 7, 0): pass,pass
(0, -1, 0, '?', 0, 0): addFlower,addSkull
(4, 3, 3, '?', 3, 0): pass,bet
(3, 0, 3, '?', 0, 0): addFlower,bet
(4, 2, 4, '?', 6, 0): pass,bet
(2, 0, 2, '?', 0, 0): addFlower,bet
(2, -1, 1, '?', 1, 0): bet,pass
(4, 3, 3, '?', 5, 0): pass,bet
(2, 1, 1, '?', 1, 0): bet,pass
(3, -1, 2, '?', 3, 0): bet,pass
(4, 3, 4, '?', 2, 1): pass,pass
(2, -1, 2, '?', 2, 0): bet,pass
(4, 3, 4, '?', 7, 1): pass,pass
(3, 2, 2, '?', 3, 1): pass,pass
(4, 0, 4, '?', 1, 1): pass,pass
(3, 0, 2, '?', 5, 0): pass,pass
(1, -1, 1, '?', 2, 1): pass,pass
(2, 0, 2, '?', 2, 0): pass,bet
(4, 0, 4, '?', 0, 0): bet,bet
(4, 2, 4, '?', 4, 1): pass,pass
(4, 3, 3, '?', 6, 1): pass,pass
(3, 0, 2, '?', 4, 1): pass,pass
(3, 1, 2, '?', 5, 1): pass,pass
(3, -1, 3, '?', 4, 0): pass,bet
(4, 2, 3, '?', 5, 0): pass,bet
(1, -1, 1, '?', 2, 0): pass,pass
(3, 2, 2, '?', 1, 1): pass,pass
(2, -1, 2, '?', 1, 1): pass,pass
(4, 2, 4, '?', 5, 1): pass,pass
(3, 1, 3, '?', 6, 1): pass,pass
(3, 2, 3, '?', 3, 1): pass,pass
(1, 0, 1, '?', 2, 0): pass,pass
(3, 0, 2, '?', 2, 1): pass,pass
(3, 1, 3, '?', 4, 1): pass,pass
(4, 2, 4, '?', 6, 1): pass,pass
(3, 2, 2, '?', 3, 0): pass,bet
(2, 0, 2, '?', 2, 1): pass,pass
(3, 2, 3, '?', 4, 0): pass,bet
(2, 1, 2, '?', 4, 1): pass,pass
(4, 2, 3, '?', 2, 1): pass,pass
(4, 2, 3, '?', 1, 0): bet,pass
(2, 1, 1, '?', 1, 1): pass,pass
(3, 1, 2, '?', 1, 0): pass,bet
(4, 2, 3, '?', 6, 1): pass,pass
(2, -1, 1, '?', 3, 1): pass,pass
(2, 1, 2, '?', 2, 0): pass,bet
(2, 1, 2, '?', 1, 1): pass,pass
(3, 0, 3, '?', 4, 1): pass,pass
(4, 3, 4, '?', 1, 1): pass,pass
(3, 2, 3, '?', 6, 0): pass,pass
(4, 1, 3, '?', 7, 1): pass,pass
(4, 2, 4, '?', 4, 0): pass,bet
(4, 3, 3, '?', 3, 1): pass,pass
(4, 1, 3, '?', 1, 0): bet,pass
(4, 2, 3, '?', 5, 1): pass,pass
(3, 2, 3, '?', 2, 1): pass,pass
(3, 0, 3, '?', 4, 0): pass,bet
(3, 0, 3, '?', 6, 1): pass,pass
(4, 0, 3, '?', 3, 1): pass,pass
(4, 2, 4, '?', 1, 1): pass,pass
(2, 1, 2, '?', 3, 1): pass,pass
(3, 1, 2, '?', 3, 1): pass,pass
(4, 3, 3, '?', 7, 0): pass,pass
(2, -1, 2, '?', 4, 1): pass,pass
(1, 0, 1, '?', 0, 0): addFlower,bet
(1, -1, 1, '?', 1, 1): pass,pass
(3, -1, 3, '?', 2, 0): bet,pass
(4, 3, 4, '?', 3, 1): pass,pass
(4, 3, 4, '?', 6, 1): pass,pass
(3, 2, 2, '?', 5, 0): pass,pass
(4, 1, 4, '?', 6, 0): pass,bet
(3, 1, 2, '?', 5, 0): pass,pass
(3, -1, 2, '?', 5, 1): pass,pass
(4, 0, 4, '?', 3, 1): pass,pass
(2, 0, 1, '?', 1, 1): pass,pass
(4, 2, 3, '?', 3, 0): pass,bet
(2, 1, 1, '?', 3, 1): pass,pass
(4, 1, 3, '?', 4, 1): pass,pass
(3, 0, 2, '?', 1, 1): pass,pass
(4, 0, 3, '?', 1, 1): pass,pass
(4, 1, 4, '?', 7, 1): pass,pass
(4, 1, 4, '?', 2, 1): pass,pass
(4, 2, 4, '?', 3, 1): pass,pass
(4, 1, 4, '?', 8, 1): pass,pass
(3, 2, 3, '?', 5, 1): pass,pass
(4, 1, 3, '?', 2, 1): pass,pass
(3, 0, 3, '?', 5, 1): pass,pass
(3, 0, 2, '?', 3, 0): pass,bet
(1, -1, 1, '?', 0, 0): addFlower,bet
(4, 3, 4, '?', 0, 0): bet,bet
(4, 0, 4, '?', 8, 1): pass,pass
(4, 2, 4, '?', 8, 0): pass,pass
(3, 0, 2, '?', 1, 0): bet,pass
(3, 2, 3, '?', 1, 1): pass,pass
(4, 0, 4, '?', 4, 1): pass,pass
(3, 1, 2, '?', 4, 1): pass,pass
(3, 2, 2, '?', 5, 1): pass,pass
(3, 1, 3, '?', 0, 0): addFlower,bet
(4, 1, 3, '?', 1, 1): pass,pass
(4, 1, 3, '?', 3, 1): pass,pass
(3, 1, 3, '?', 5, 1): pass,pass
(2, 1, 2, '?', 2, 1): pass,pass
(4, 3, 3, '?', 5, 1): pass,pass
(4, 1, 4, '?', 4, 1): pass,pass
(4, 1, 4, '?', 8, 0): pass,pass
(2, -1, 1, '?', 2, 1): pass,pass
(4, 1, 3, '?', 3, 0): pass,bet
(4, 0, 4, '?', 6, 1): pass,pass
(2, -1, 2, '?', 4, 0): pass,pass
(4, 3, 3, '?', 2, 1): pass,pass
(2, 0, 1, '?', 3, 1): pass,pass
(3, 2, 3, '?', 2, 0): pass,bet
(4, 2, 4, '?', 8, 1): pass,pass
(3, 0, 2, '?', 3, 1): pass,pass
(4, 2, 3, '?', 7, 1): pass,pass
(1, 0, 1, '?', 1, 1): pass,pass
(4, 0, 4, '?', 2, 0): pass,bet
(2, 1, 1, '?', 3, 0): pass,pass
(4, 3, 4, '?', 2, 0): bet,pass
(4, 3, 4, '?', 6, 0): pass,bet
(4, 1, 3, '?', 5, 1): pass,pass
(4, 3, 3, '?', 4, 1): pass,pass
(3, -1, 3, '?', 4, 1): pass,pass
(3, 0, 3, '?', 3, 1): pass,pass
(3, 0, 3, '?', 1, 1): pass,pass
(4, 1, 4, '?', 6, 1): pass,pass
(4, 2, 4, '?', 0, 0): bet,bet
(3, 1, 3, '?', 1, 1): pass,pass
(3, 2, 3, '?', 0, 0): addFlower,bet
(4, 0, 4, '?', 8, 0): pass,pass
(4, 1, 4, '?', 5, 1): pass,pass
(3, -1, 3, '?', 6, 1): pass,pass
(4, 0, 4, '?', 2, 1): pass,pass
(4, 3, 4, '?', 8, 1): pass,pass
(3, 1, 2, '?', 2, 1): pass,pass
(3, -1, 3, '?', 0, 0): bet,addSkull
(4, 3, 3, '?', 1, 0): bet,pass
(3, 0, 3, '?', 2, 1): pass,pass
(4, 3, 4, '?', 8, 0): pass,pass
(3, 0, 3, '?', 2, 0): pass,bet
(2, -1, 1, '?', 1, 1): pass,pass
(3, -1, 2, '?', 1, 0): bet,pass
